City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Gizo,SB,79.93,overcast clouds,-8.103,156.8419,Imagination Island
12,Atuona,PF,77.72,clear sky,-9.8,-139.0333,Villa Enata
13,Ponta Do Sol,PT,74.03,overcast clouds,32.6667,-17.1,Hotel do Campo
14,Arona,ES,72.99,broken clouds,28.0996,-16.681,Paradise Court
18,Vaini,TO,71.76,light rain,-21.2,-175.2,Keleti Beach Resort
22,Qui Nhon,VN,77.0,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
23,Puerto Ayora,EC,70.92,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Zhob,PK,75.58,scattered clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
27,Rikitea,PF,74.1,few clouds,-23.1203,-134.9692,People ThankYou
29,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
30,Torbay,CA,72.48,scattered clouds,47.6666,-52.7314,Gallows Cove
36,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Lompoc,US,73.92,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
45,Hilo,US,72.81,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Kirakira,SB,77.43,broken clouds,-10.4544,161.9205,SanBiz Lodge
69,Sampit,ID,75.94,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
70,Dingle,PH,75.99,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
73,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
76,Kiunga,PG,72.64,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
78,Tevaitoa,PF,77.54,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
81,Manokwari,ID,77.36,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
83,Houma,US,77.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
84,Ubrique,ES,76.98,broken clouds,36.6778,-5.446,Hotel Sierra de Ubrique
92,Zapatoca,CO,74.16,light rain,6.8153,-73.2677,Casa Palosanto
100,Kapaa,US,75.52,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
103,Merauke,ID,76.28,overcast clouds,-8.4667,140.3333,
106,Anisoc,GQ,71.73,overcast clouds,1.8658,10.7689,
119,Isangel,VU,70.52,overcast clouds,-19.55,169.2667,Tanna Lodge
129,Dicabisagan,PH,78.35,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
132,Meulaboh,ID,78.39,broken clouds,4.1363,96.1285,Kost Pria
133,Ternate,ID,79.9,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
136,Vaitape,PF,77.76,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
140,East London,ZA,71.64,broken clouds,-33.0153,27.9116,Tu Casa
141,Ahuimanu,US,76.71,mist,21.4447,-157.8378,Paradise Bay Resort
144,Mbala,ZM,73.65,scattered clouds,-8.8402,31.3659,Lake Chila Lodge
145,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
149,Barisal,BD,79.63,scattered clouds,22.7019,90.3711,Hotel Arefin Residential
156,Aborlan,PH,78.1,overcast clouds,9.4352,118.5492,Kevina Transient House
167,Bandarbeyla,SO,78.24,broken clouds,9.4942,50.8122,JABIR HOTEL
168,Shimoda,JP,74.88,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
173,Port-Gentil,GA,78.73,few clouds,-0.7193,8.7815,Fengshui Residence
175,Fare,PF,76.86,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
176,Guerrero Negro,MX,79.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
177,Shahreza,IR,74.1,clear sky,32.0339,51.8794,خوابگاه
185,Mocuba,MZ,71.44,scattered clouds,-16.8392,36.9856,Phama Lodge
190,Singkawang,ID,77.74,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
198,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
206,Carroll,US,70.92,broken clouds,39.5501,-77.0164,Best Western Westminster Hotel
208,Nouadhibou,MR,71.49,clear sky,20.931,-17.0347,El Medina
214,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
215,Hiriyur,IN,73.78,overcast clouds,13.9456,76.6192,Royal Inn
223,Aguimes,ES,75.83,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
229,Omboue,GA,78.35,light rain,-1.5746,9.2618,Hotel Olako
232,Witu,KE,77.16,clear sky,-2.3889,40.4382,
241,Katsuura,JP,73.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
244,Morden,CA,71.44,broken clouds,49.1919,-98.1014,Morden Motor Inn
245,Margate,GB,70.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
246,Shingu,JP,70.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
249,Gilgit,PK,76.75,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
250,Gat,IL,77.92,clear sky,31.61,34.7642,OlusHome
252,Cumpas,MX,73.78,overcast clouds,29.9833,-109.7833,Hotel La Palma
254,Istmina,CO,76.15,overcast clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
257,Catuday,PH,78.6,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
262,Herne Bay,GB,71.01,overcast clouds,51.373,1.1286,Westgrange House Bed and Breakfast
264,Zwedru,LR,78.78,moderate rain,6.0667,-8.1281,Elijah Worjloh
267,Riverton,US,75.29,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
268,Naze,JP,75.69,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
269,Shache,CN,73.0,clear sky,38.4167,77.2406,Delong Hotel
273,Mbekenyera,TZ,73.56,broken clouds,-10.0,38.9833,
286,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
289,Vryburg,ZA,73.06,broken clouds,-26.9566,24.7284,Times Premier Lodge
294,Yaan,NG,77.56,light rain,7.3833,8.5667,
302,Gambela,ET,74.55,broken clouds,8.25,34.5833,Solomon Debebe Hotel
305,Mitu,CO,73.11,overcast clouds,1.1983,-70.1733,
306,Darnah,LY,74.91,few clouds,32.767,22.6367,فندق الفردوس
308,Broome,US,71.38,heavy intensity rain,42.2506,-75.833,Chenango Valley State Park
310,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
312,Russell,US,72.97,clear sky,32.3502,-85.1999,Macs
313,Lata,PT,72.91,overcast clouds,40.1629,-8.3327,Casa Maquia
315,Bengkulu,ID,75.96,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
316,Faanui,PF,77.72,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
321,Teknaf,BD,79.32,light rain,20.8624,92.3058,Forestry Guesthouse
326,Shahrud,IR,75.79,clear sky,36.4182,54.9763,Royal Hotel
328,Longkou,CN,71.47,light rain,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
329,Gamba,GA,77.54,light rain,-2.65,10.0,
330,Namatanai,PG,78.4,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
333,Antalaha,MG,70.38,clear sky,-14.9003,50.2788,Hotel Vitasoa
337,Puerto Narino,CO,78.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
343,Sola,VU,78.15,overcast clouds,-13.8833,167.55,Leumerus Bungalows
345,San Quintin,MX,77.34,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
348,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
352,Caravelas,BR,74.32,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
355,Tra Vinh,VN,77.25,overcast clouds,9.9347,106.3453,Hồng Ân
356,Jasdan,IN,77.07,scattered clouds,22.0333,71.2,Radhuvir Guest House & A World Restaurant
357,Port Blair,IN,79.77,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
358,Muros,ES,74.14,clear sky,42.7762,-9.0603,Apartment Av. Castelao
359,Kontagora,NG,79.36,overcast clouds,10.3999,5.4695,Queens Guest Inn
360,Badami,IN,73.81,overcast clouds,15.915,75.6768,Clarks Inn
364,Bastia,FR,75.0,clear sky,42.6667,9.3333,Hotel Santa Maria
368,Sibolga,ID,77.47,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
370,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
371,Tual,ID,78.89,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
372,Ratnagiri,IN,78.53,moderate rain,16.9833,73.3,Hotel Landmark
373,Kahului,US,71.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
374,Dabhol,IN,75.72,scattered clouds,17.6,73.1667,Ashwamedh Resort
375,Alencon,FR,70.59,clear sky,48.4333,0.0833,ibis Alençon
376,Bonavista,CA,71.6,clear sky,48.6499,-53.1147,Abbott's Bed & Breakfast
377,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
378,Buala,SB,78.78,light rain,-8.145,159.5921,Maringe Lagoon Lodge
382,Oxford,GB,71.22,few clouds,51.7522,-1.256,Malmaison Oxford
384,Port Moresby,PG,73.72,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
385,Luwuk,ID,75.13,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
388,Binga,ZW,75.09,broken clouds,-17.6203,27.3414,Lakeview Inn Binga
389,Amahai,ID,75.9,moderate rain,-3.3333,128.9167,HOTEL ISABELA
398,That Phanom,TH,74.17,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
