City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,67.87,59,100,18.5,overcast clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,57.22,88,90,6.91,light rain
2,Paamiut,GL,61.994,-49.6678,34.48,78,19,12.44,few clouds
3,Hobart,AU,-42.8794,147.3294,48.25,73,75,6.91,broken clouds
4,Gizo,SB,-8.103,156.8419,79.93,77,100,1.79,overcast clouds
5,Pevek,RU,69.7008,170.3133,28.38,96,100,3.98,light snow
6,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,81.07,30,97,8.46,overcast clouds
7,Nikolskoye,RU,59.7035,30.7861,46.29,88,99,9.15,overcast clouds
8,Sao Filipe,CV,14.8961,-24.4956,80.28,74,35,6.17,scattered clouds
9,Norman Wells,CA,65.282,-126.8329,33.44,87,99,0.29,overcast clouds
10,Dabat,ET,12.9842,37.765,53.91,91,83,3.8,light rain
11,Punta Arenas,CL,-53.15,-70.9167,51.91,37,20,26.46,few clouds
12,Atuona,PF,-9.8,-139.0333,77.72,73,4,16.91,clear sky
13,Ponta Do Sol,PT,32.6667,-17.1,74.03,53,100,5.5,overcast clouds
14,Arona,ES,28.0996,-16.681,72.99,60,75,3.0,broken clouds
15,Ushuaia,AR,-54.8,-68.3,51.42,34,20,23.02,few clouds
16,Khatanga,RU,71.9667,102.5,33.51,99,100,5.79,overcast clouds
17,Avarua,CK,-21.2078,-159.775,69.85,60,40,10.36,scattered clouds
18,Vaini,TO,-21.2,-175.2,71.76,94,20,6.91,light rain
19,Puerto Cabello,VE,10.4731,-68.0125,90.95,63,99,4.25,overcast clouds
20,Cherskiy,RU,68.75,161.3,28.47,98,100,5.1,light snow
21,Port Hedland,AU,-20.3167,118.5667,66.25,68,96,4.61,overcast clouds
22,Qui Nhon,VN,13.7667,109.2333,77.0,86,100,8.08,light rain
23,Puerto Ayora,EC,-0.7393,-90.3518,70.92,83,95,10.51,overcast clouds
24,Goderich,CA,43.7501,-81.7165,61.92,83,100,19.26,overcast clouds
25,Berlevag,NO,70.8578,29.0864,48.2,61,0,21.85,clear sky
26,Zhob,PK,31.3411,69.4481,75.58,53,48,7.74,scattered clouds
27,Rikitea,PF,-23.1203,-134.9692,74.1,68,17,22.59,few clouds
28,Cabo San Lucas,MX,22.8909,-109.9124,91.62,74,1,0.0,clear sky
29,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,10.36,broken clouds
30,Torbay,CA,47.6666,-52.7314,72.48,69,30,5.84,scattered clouds
31,Kelso,US,46.1468,-122.9084,63.82,93,90,0.0,overcast clouds
32,Touros,BR,-5.1989,-35.4608,88.7,62,42,16.26,scattered clouds
33,Rancho Palos Verdes,US,33.7445,-118.387,88.99,72,1,3.0,clear sky
34,Hithadhoo,MV,-0.6,73.0833,81.91,79,77,19.06,light rain
35,Busselton,AU,-33.65,115.3333,47.08,79,0,10.83,clear sky
36,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,38,13.0,scattered clouds
37,Airai,TL,-8.9266,125.4092,57.87,77,97,1.99,overcast clouds
38,Dikson,RU,73.5069,80.5464,34.83,64,75,6.87,broken clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,90,5.75,light snow
40,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,93,90,12.66,overcast clouds
41,Tabou,CI,4.423,-7.3528,80.71,78,86,8.43,overcast clouds
42,Durango,MX,24.8333,-104.8333,68.04,55,21,5.48,few clouds
43,Kodiak,US,57.79,-152.4072,39.9,96,100,20.67,light rain
44,Lompoc,US,34.6391,-120.4579,73.92,81,90,3.44,overcast clouds
45,Hilo,US,19.7297,-155.09,72.81,83,90,0.0,overcast clouds
46,Ostrovnoy,RU,68.0531,39.5131,44.83,83,20,20.6,few clouds
47,Yellowknife,CA,62.456,-114.3525,43.83,80,98,9.78,overcast clouds
48,Repelon,CO,10.4919,-75.1292,89.47,65,100,7.36,overcast clouds
49,Okato,NZ,-39.2,173.8833,53.42,88,72,14.94,broken clouds
